,# src,RA(deg),err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
170,170,24.8313719814,0.003557402817,-24.2789639561,0.0056243833141,0.126203491882,0.0184685205136
171,171,35.9792116443,0.0042168037905,-23.7627301497,0.0071785067053,0.14618209467,0.0245987473974
172,172,34.478450709,0.0114444989672,-19.1028197464,0.0121546454537,0.155117480987,0.0244902605268
173,173,31.245649327,0.0041414180576,-24.0891343236,0.0061551504254,0.180185798861,0.0167802433037
174,174,20.9646798276,0.0025772281878,-29.0082572553,0.0041406416187,0.254045969841,0.0187748783774
175,175,20.1901440913,0.0033031226465,-37.0273287366,0.0072127109575,0.346701265977,0.0449809317443
176,176,31.6318472443,0.0013290615575,-23.0831664352,0.0016925692452,0.463339575211,0.0192940027705
177,177,19.6724800501,0.0079610086745,-13.1068894087,0.0102006399629,0.161062296968,0.0391833436518
178,178,39.6588515773,0.0018497780241,-19.9323556145,0.0024369056965,0.669361868691,0.0441059561068
179,179,25.3206985525,0.0004881887636,-21.693306096,0.0006151065777,1.24725150803,0.018027439796
180,180,29.0207634409,0.0020913515514,-21.3918437375,0.0039922197425,0.203056143464,0.0166499574895
181,181,30.2972900743,0.0008852124633,-15.2564005993,0.0012454877314,1.08654845149,0.0281833948981
182,182,19.8109970612,0.0034385969647,-17.0843487765,0.0045433257494,0.271843035516,0.0253859801545
183,183,26.1456571808,0.0070591942391,-16.3229214297,0.0078440514594,0.138127472996,0.0257634007094
184,184,24.6349400646,0.0105371263295,-16.1776308138,0.0151313005393,0.129638850438,0.022011808582
185,185,25.1406531242,0.0003026768919,-17.4991284802,0.0004847984216,2.16248297269,0.019605147101
186,186,26.9446923461,0.0040684900067,-22.1103750372,0.005901228851,0.119985371344,0.0171644926135
187,187,30.6302249829,0.001524592019,-9.65526764935,0.002186737915,1.31245787756,0.0462153708726
188,188,19.3291653456,0.0037739827267,-32.1275258189,0.0064338966927,0.182474459412,0.0268860011052
189,189,17.982652493,0.0007390769888,-21.0648599174,0.0010652836949,1.01756628936,0.0238589225805
190,190,18.6786298092,0.0012009004298,-23.9472603726,0.0016622483996,0.554371720993,0.0179439606363
191,191,30.1174876553,0.0021297191201,-19.2190925618,0.0028256146942,0.285879998235,0.0209358734932
192,192,15.2514072608,0.0012495582137,-13.6832522943,0.0016137854804,1.1319741154,0.0378817210856
193,193,34.1549876099,0.0032610669416,-16.9194730068,0.0055305655995,0.208725845491,0.0266429858141
194,194,28.0929337081,0.0005200357602,-26.5449555209,0.0007528331507,1.08394757359,0.0161108858789
195,195,35.1302339034,0.0029990825901,-32.3558823343,0.0065983345158,0.218986707806,0.032393919818
196,196,22.4525645732,0.0010062908964,-33.3673685831,0.0018014830848,0.622861285318,0.0245135347255
197,197,35.1559956863,0.0048930589754,-27.8280170126,0.0056539033842,0.131599293139,0.0228968381708
198,198,21.4328370614,0.0072361261835,-28.7339331417,0.0066564255654,0.126135842906,0.0214922797087
199,199,31.2560963963,0.0017215162516,-24.186562655,0.0037734164482,0.395653720262,0.0213305232553
200,200,30.069700334,6.11460117e-05,-30.8546652649,8.72228857e-05,14.4605027275,0.0289398667803
201,201,8.47808548827,0.0066120181948,-14.3792864671,0.0100449098042,0.337708453428,0.0584696604952
202,202,33.7353175102,0.0061268278058,-12.9354028665,0.0064172636767,0.358342534476,0.0468884146486
203,203,34.7824284334,0.0038932630847,-29.6550241677,0.0049088090929,0.192580316927,0.0252241112501
204,204,18.8485093402,0.0065747673736,-29.0687771931,0.0092849098847,0.148155133095,0.0210853236215
205,205,19.3988407205,0.0040359013733,-34.1525109896,0.0083390653249,0.170139887931,0.0280322478796
206,206,18.5602737752,0.001199051852,-37.5893062666,0.0025489041965,0.935235576114,0.0486018957596
207,207,15.5590357346,0.0014283211672,-26.2234680881,0.0018402934675,0.569348352198,0.023944289945
208,208,31.2997324839,0.000423745282,-19.0063598729,0.0005442899372,1.68686868317,0.0213090129273
209,209,14.2054234092,0.0044136829299,-25.7222487211,0.0101808829814,0.175557759003,0.0212769904294
210,210,41.3788661544,0.00259242166,-22.8169481476,0.0033445832104,0.449532540376,0.0382323572686
211,211,32.2195817451,0.0051530581176,-34.6678203842,0.0060862570932,0.202985657897,0.034811723428
212,212,39.1533670758,0.0026202539867,-32.7609561572,0.0025569580861,0.653975472836,0.0409887041286
213,213,32.729668365,0.0047403708442,-33.8594119822,0.0090975302429,0.204747855273,0.03141871262
214,214,30.1738335932,0.0033475670867,-15.371763926,0.0035006913367,0.339243234056,0.024316935773
215,215,28.6977023264,0.0046842790695,-32.0958664978,0.0056068507239,0.168912791449,0.0223269208312
216,216,40.1645920115,0.004267017167,-26.8551177668,0.0058100084777,0.33431692273,0.0333252910703
217,217,8.5044195633,0.004727691659,-28.1578583312,0.0076331645047,0.299145561208,0.0400829708973
218,218,26.1739956116,0.0062365292203,-38.0137629293,0.0083442559077,0.299037929256,0.0455546636828
219,219,20.2748778401,0.0008068891858,-20.4370243006,0.0010561181314,0.876098138097,0.020338285387
220,220,26.5076965985,0.0008032767158,-18.9472006126,0.0011264608228,0.809240308236,0.0203126413415
221,221,38.2346062919,0.0094514328925,-19.1413786715,0.0087880254344,0.215884113714,0.0344998420029
222,222,42.8784812743,0.0083494080718,-18.5924713284,0.0129865215055,0.389097181407,0.0508642968194
223,223,26.7341230803,0.0008699914279,-26.2557606072,0.0011660085224,0.677306741237,0.0182478911308
224,224,31.4614481326,0.020950957396,-14.1299172205,0.0822790962758,0.24020186552,0.13293029931
225,225,38.2958935457,0.0160208908606,-20.3827887942,0.0114418778785,0.16029425233,0.0290977082421
226,226,18.1892759098,0.0054754892424,-17.6807312963,0.0067164754971,0.209661390734,0.0257325762245
227,227,34.9389721262,0.0042524388703,-11.9748362767,0.0073066386248,0.386121152345,0.0427997410897
228,228,39.4766876689,0.0020617163825,-17.9438006793,0.0032850942777,0.504458887382,0.035340940877
229,229,10.0864478797,0.0034579147517,-27.0637218021,0.0082843557823,0.286887482918,0.0325024081542
230,230,13.9559442719,0.0004035944451,-37.4353786981,0.0089859291533,0.387503034121,0.0538950188958
231,231,23.4964427047,0.0036589442838,-35.989084821,0.0077938721151,0.214627193401,0.0364303154671
232,232,26.7393347538,0.0003816384324,-22.5841697139,0.000479297131,1.44415357569,0.016230055559
233,233,36.9787783881,0.0022046288945,-21.2086342634,0.0028344014899,0.35950254334,0.0255762364923
